model,estimate,standard_error,ci_low,ci_high,n_children,n_families,discordant_family_count,exposure_variation,simulation_truth,absolute_error_from_truth,sample_fraction_of_naive
Naive cohort,-0.7010842761777004,0.0388549943200982,-0.7772400650450929,-0.6249284873103079,3049,1921,,,-0.2,0.5010842761777003,1.0
Adjusted cohort,-0.41995894050467975,0.03299903499699795,-0.48463704909879574,-0.35528083191056375,3049,1921,,,-0.2,0.21995894050467973,1.0
Sibling fixed effects,-0.17579770150168558,0.04673261323380032,-0.2673936234399342,-0.08420177956343695,1125,507,507.0,0.24191874258600238,-0.2,0.02420229849831443,0.3689734339127583
